,Cloud Top Height,Cloud Top Temperature,Cloud Top Phase,Shortwave Albedo,Long Wave Flux,Ice Water Path,Cloud Particle Size,RF
2018-02-24 02:09:10,4.533893585205078,-4.358038330078102,1.0,71.4063491821289,228.5184326171875,1081.0999755859375,12.973198890686035,RF15
2018-02-24 02:09:20,4.676563262939453,-5.757391357421852,1.0,68.1303482055664,217.30398559570312,986.0738525390625,11.8328857421875,RF15
2018-02-24 02:09:30,4.676563262939453,-5.757391357421852,1.0,68.1303482055664,217.30398559570312,986.0738525390625,11.8328857421875,RF15
2018-02-24 02:09:40,4.996360778808594,-7.618353271484352,1.0,69.79301452636719,213.71034240722656,916.1981201171875,10.994377136230469,RF15
2018-02-24 02:09:50,5.03759765625,-7.835302734374977,1.0,61.22419738769531,213.31124877929688,462.0887145996094,11.139030456542969,RF15
2018-02-24 02:10:00,4.868549346923828,-6.938665771484352,1.0,73.50394439697266,214.9953155517578,953.2623901367188,11.43914794921875,RF15
2018-02-24 02:10:10,4.868549346923828,-6.938665771484352,1.0,73.50394439697266,214.9953155517578,953.2623901367188,11.43914794921875,RF15
2018-02-24 02:10:20,4.848682403564453,-6.816412353515602,1.0,68.24482727050781,215.26954650878906,1042.6810302734375,12.51217269897461,RF15
2018-02-24 02:10:30,5.094390869140625,-8.134100341796852,1.0,64.46957397460938,212.84378051757812,1113.464111328125,13.78812026977539,RF15
2018-02-24 02:10:40,5.094390869140625,-8.134100341796852,1.0,64.46957397460938,212.84378051757812,1113.464111328125,13.78812026977539,RF15
2018-02-24 02:10:50,4.925071716308594,-7.243292236328102,1.0,58.67588424682617,214.47601318359375,400.99432373046875,12.584228515625,RF15
2018-02-24 02:11:00,4.925071716308594,-7.243292236328102,1.0,58.67588424682617,214.47601318359375,400.99432373046875,12.584228515625,RF15
2018-02-24 02:11:10,4.655406951904297,-5.627233886718727,1.0,68.75115203857422,217.57550048828125,1073.33984375,12.880077362060547,RF15
2018-02-24 02:11:20,3.5010032653808594,-5.081213378906227,1.0,64.0731201171875,216.62213134765625,975.71533203125,12.614225387573242,RF15
2018-02-24 02:11:30,3.5010032653808594,-5.081213378906227,1.0,64.0731201171875,216.62213134765625,975.71533203125,12.614225387573242,RF15
2018-02-24 02:11:40,3.1742515563964844,-5.837683105468727,1.0,62.00807189941406,216.2480010986328,834.0271606445312,14.138529777526855,RF15
2018-02-24 02:11:50,3.260040283203125,-6.367285156249977,1.0,63.173336029052734,215.20550537109375,1000.375,13.018477439880371,RF15
2018-02-24 02:12:00,3.260040283203125,-6.367285156249977,1.0,63.173336029052734,215.20550537109375,1000.375,13.018477439880371,RF15
2018-02-24 02:12:10,3.2586746215820312,-6.358862304687477,1.0,55.693878173828125,215.20339965820312,308.13385009765625,12.224615097045898,RF15
2018-02-24 02:12:20,3.3083724975585938,-6.665655517578102,1.0,52.76488494873047,214.50912475585938,176.12265014648438,9.9822998046875,RF15
2018-02-24 02:12:30,3.3083724975585938,-6.665655517578102,1.0,52.76488494873047,214.50912475585938,176.12265014648438,9.9822998046875,RF15
2018-02-24 02:12:40,3.214874267578125,-6.088446044921852,1.0,47.60184097290039,215.5343780517578,99.22896575927734,8.5194091796875,RF15
2018-02-24 02:12:50,3.072650909423828,-5.210485839843727,1.0,54.20952606201172,217.18966674804688,159.5866241455078,8.044540405273438,RF15
2018-02-24 02:13:00,3.072650909423828,-5.210485839843727,1.0,54.20952606201172,217.18966674804688,159.5866241455078,8.044540405273438,RF15
2018-02-24 02:13:10,3.258289337158203,-6.356481933593727,1.0,60.23135757446289,215.0482635498047,363.16436767578125,9.083770751953125,RF15
2018-02-24 02:13:20,3.5310630798339844,-8.040380859374977,1.0,62.455928802490234,211.9217071533203,739.362548828125,11.6236572265625,RF15
2018-02-24 02:13:30,3.5310630798339844,-8.040380859374977,1.0,62.455928802490234,211.9217071533203,739.362548828125,11.6236572265625,RF15
2018-02-24 02:13:40,5.221912384033203,-9.015051269531227,1.0,70.71056365966797,212.63682556152344,1156.3994140625,13.876791954040527,RF15
2018-02-24 02:13:50,5.243488311767578,-9.127050781249977,1.0,62.08857727050781,212.31349182128906,649.7365112304688,11.386436462402344,RF15
2018-02-24 02:14:00,3.119842529296875,-5.501806640624977,1.0,44.22841262817383,216.63482666015625,73.87498474121094,8.285018920898438,RF15
2018-02-24 02:14:10,3.119842529296875,-5.501806640624977,1.0,44.22841262817383,216.63482666015625,73.87498474121094,8.285018920898438,RF15
2018-02-24 02:14:20,3.061931610107422,-5.144323730468727,1.0,47.74419403076172,217.39666748046875,112.13902282714844,9.44586181640625,RF15
2018-02-24 02:14:30,3.183063507080078,-5.892095947265602,1.0,55.000694274902344,215.95135498046875,208.38525390625,9.444381713867188,RF15
2018-02-24 02:14:40,3.183063507080078,-5.892095947265602,1.0,55.000694274902344,215.95135498046875,208.38525390625,9.444381713867188,RF15
2018-02-24 02:14:50,3.1362571716308594,-5.603124999999977,1.0,50.89574432373047,216.50308227539062,143.04220581054688,9.358139038085938,RF15
2018-02-24 02:15:00,5.131404876708984,-8.545263671874977,1.0,37.96409606933594,213.60882568359375,65.25994873046875,10.677444458007812,RF15
2018-02-24 02:15:00,2.61297607421875,-2.4086669921874773,1.0,16.461267471313477,232.2499237060547,9.558387756347656,8.7470703125,RF15
2018-02-24 02:15:10,2.820636749267578,-3.6935180664062273,1.0,30.326854705810547,220.83966064453125,34.67055892944336,9.487396240234375,RF15
2018-02-24 02:15:20,2.820636749267578,-3.6935180664062273,1.0,30.326854705810547,220.83966064453125,34.67055892944336,9.487396240234375,RF15
2018-02-24 02:15:30,2.9436988830566406,-4.454931640624977,1.0,35.91618728637695,219.0050048828125,46.3233528137207,8.844833374023438,RF15
2018-02-24 02:15:40,1.4866943359375,4.559930419921898,1.0,44.995182037353516,236.46090698242188,101.11861419677734,10.128768920898438,RF15
2018-02-24 02:15:50,0.61712646484375,9.940148925781273,1.0,31.203401565551758,246.23651123046875,44.13395309448242,10.984573364257812,RF15
2018-02-24 02:16:00,0.9402656555175781,7.940850830078148,1.0,45.19647979736328,243.07272338867188,117.09164428710938,11.17889404296875,RF15
2018-02-24 02:16:10,1.268157958984375,5.912072753906273,1.0,55.271690368652344,239.61666870117188,275.34429931640625,10.851806640625,RF15
2018-02-24 02:16:20,0.41229248046875,11.207543945312523,1.0,27.573888778686523,248.1340789794922,34.74164962768555,11.27117919921875,RF15
2018-02-24 02:16:30,0.5207138061523438,10.536676025390648,1.0,32.637184143066406,247.09036254882812,58.19366455078125,12.755335807800293,RF15
2018-02-24 02:16:40,0.6948890686035156,8.940209960937523,1.0,35.55140686035156,251.55816650390625,64.99403381347656,12.710844993591309,RF15
2018-02-24 02:16:50,1.4308586120605469,5.306878662109398,1.0,28.376731872558594,246.65768432617188,37.126007080078125,11.891464233398438,RF15
2018-02-24 02:17:00,1.4308586120605469,5.306878662109398,1.0,28.376731872558594,246.65768432617188,37.126007080078125,11.891464233398438,RF15
2018-02-24 02:17:10,1.9955558776855469,2.5190368652343977,1.0,55.095855712890625,242.15785217285156,194.73318481445312,10.267120361328125,RF15
2018-02-24 02:17:20,1.6616477966308594,4.167474365234398,1.0,47.20042037963867,244.67410278320312,94.59292602539062,9.224517822265625,RF15
2018-02-24 02:17:30,0.5127334594726562,9.839501953125023,1.0,29.452625274658203,252.62376403808594,39.758697509765625,11.872467041015625,RF15
2018-02-24 02:17:40,1.061248779296875,7.131585693359398,1.0,23.451732635498047,249.8331756591797,18.884735107421875,9.133270263671875,RF15
2018-02-24 02:17:50,,,4.0,26.686534881591797,258.5386047363281,,,RF15
2018-02-24 02:18:00,0.5839729309082031,9.487817382812523,1.0,55.584007263183594,252.19937133789062,307.2042236328125,14.039058685302734,RF15
2018-02-24 02:18:10,1.6938400268554688,4.008569335937523,1.0,44.5777702331543,244.55526733398438,106.75411224365234,11.975662231445312,RF15
2018-02-24 02:18:20,1.6938400268554688,4.008569335937523,1.0,44.5777702331543,244.55526733398438,106.75411224365234,11.975662231445312,RF15
2018-02-24 02:18:30,1.8516921997070312,3.2292724609375227,1.0,51.563907623291016,243.36717224121094,178.33505249023438,11.909683227539062,RF15
2018-02-24 02:18:40,1.9038772583007812,2.9716430664062727,1.0,61.63181686401367,243.4744873046875,587.2384033203125,13.779433250427246,RF15
2018-02-24 02:18:50,1.9038772583007812,2.9716430664062727,1.0,61.63181686401367,243.4744873046875,587.2384033203125,13.779433250427246,RF15
2018-02-24 02:19:00,1.7396697998046875,3.7823120117187727,1.0,62.49308776855469,244.707763671875,638.3117065429688,13.597588539123535,RF15
2018-02-24 02:19:10,1.9517631530761719,2.7352539062500227,1.0,61.24962615966797,243.11180114746094,577.76220703125,14.727556228637695,RF15
2018-02-24 02:19:20,1.9372329711914062,3.9359680175781477,1.0,51.475704193115234,240.7888946533203,217.9492645263672,13.565340995788574,RF15
